timestamp_iso,session_id,software_version,block_id,reference_kg,reference_n,position_tag,repetition,raw_sum_block,net_sum_block,mean_raw_block,std_raw_block,cv_pct,estimated_kg,estimated_n,stability_state,time_since_load_s,tare_block_sum
2026-08-19T09:26:43.479806-04:00,5575ffec-329c-451e-98be-7eaf9a69964e,1.0.0,0,1.97,19.3257,center,1,3410.945,996.0521,3410.945,0.0146,0.2488,1.286,12.6157,stable,60.0,2414.8929
2026-08-19T09:29:17.018958-04:00,5575ffec-329c-451e-98be-7eaf9a69964e,1.0.0,0,3.912,38.3767,center,2,4118.695,1703.8021,4118.695,0.4153,5.7411,2.658,26.075,stable,60.0,2414.8929
2026-08-19T09:30:55.436788-04:00,5575ffec-329c-451e-98be-7eaf9a69964e,1.0.0,0,5.892,57.8005,center,3,5769.73,3354.8371,5769.73,0.0182,0.177,5.697,55.8876,stable,60.0,2414.8929
2026-08-19T09:32:59.523879-04:00,5575ffec-329c-451e-98be-7eaf9a69964e,1.0.0,0,7.832,76.8319,center,4,7394.1,4979.2071,7394.1,0.0249,0.1988,7.967,78.1563,stable,60.0,2414.8929
