timestamp_iso,session_id,software_version,block_id,reference_kg,reference_n,position_tag,repetition,raw_sum_block,net_sum_block,mean_raw_block,std_raw_block,cv_pct,estimated_kg,estimated_n,stability_state,time_since_load_s,tare_block_sum
2026-08-18T16:27:52.327568-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,1.19,11.6739,left,1,1007.1939,286.1888,1007.1939,0.0958,12.4191,0.66,6.4746,stable,5.0,721.0051
2026-08-18T16:28:15.472761-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,2.347,23.0241,left,2,1345.7143,624.7092,1345.7143,0.1289,11.2129,1.038,10.1828,stable,5.0,721.0051
2026-08-18T16:29:37.708671-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,3.912,38.3767,left,3,2126.6939,1405.6888,2126.6939,0.262,5.3772,4.762,46.7152,stable,5.0,721.0051
2026-08-18T16:30:31.415622-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,4.318,42.3596,left,4,2519.9388,1798.9337,2519.9388,0.5981,12.5631,4.65,45.6165,transient,5.0,721.0051
2026-08-18T16:31:58.201076-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,5.1,50.031,left,5,2558.1624,1837.1573,2558.1624,0.3704,6.0596,6.001,58.8698,stable,5.0,721.0051
2026-08-18T16:33:57.793595-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,6.256,61.3714,left,6,3020.3909,2299.3858,3020.3909,0.8056,12.074,6.561,64.3634,transient,5.0,721.0051
2026-08-18T16:35:20.910233-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,7.447,73.0551,left,7,3442.2589,2721.2538,3442.2589,0.7011,9.1667,7.538,73.9478,transient,5.0,721.0051
2026-08-18T16:37:40.417693-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,8.215,80.5892,left,9,3806.7704,3085.7653,3806.7704,0.8372,9.7234,8.499,83.3752,transient,5.0,721.0051
2026-08-18T16:39:37.966752-04:00,44744353-170c-4a5a-b3ac-929bd8cb4f4c,1.0.0,0,9.407,92.2827,left,10,3930.4847,3209.4796,3930.4847,0.8493,9.7514,8.598,84.3464,transient,5.0,721.0051
